Name,Platform,Publisher,Genre,Metascore,User_Score,Release_Year
Forza Horizon 4,PC,Microsoft Studios,Racing,92.0,8.5,2018.0
Terraria,PC,Re-Logic,Action,83.0,8.6,2011.0
Horizon Zero Dawn,PC,Sony Interactive Entertainment,RPG,89.0,8.3,2017.0
Overwatch,PC,Blizzard Entertainment,FPS,91.0,7.7,2016.0
Mass Effect Legendary Edition,PC,Electronic Arts,RPG,86.0,8.8,2021.0
Yakuza: Like a Dragon,PC,Sega,RPG,83.0,8.2,2020.0
The Legend of Zelda: Breath of the Wild,Nintendo Switch,Nintendo,Adventure,97.0,8.7,2017.0
Super Mario Odyssey,Nintendo Switch,Nintendo,Platformer,97.0,8.9,2017.0
Horizon Forbidden West,PS5,Sony Interactive Entertainment,RPG,88.0,8.4,2022.0
Resident Evil Village,PC,Capcom,Survival,84.0,8.0,2021.0
Metroid Dread,Nintendo Switch,Nintendo,Action,88.0,8.6,2021.0
Xenoblade Chronicles 3,Nintendo Switch,Nintendo,RPG,89.0,8.7,2022.0
Splatoon 3,Nintendo Switch,Nintendo,Shooter,83.0,8.1,2022.0
Return to Monkey Island,PC,Devolver Digital,Adventure,88.0,7.5,2022.0
Kirby and the Forgotten Land,Nintendo Switch,Nintendo,Platformer,85.0,8.4,2022.0
Marvel's Spider-Man: Miles Morales,PS5,Sony Interactive Entertainment,Action,85.0,8.3,2020.0
Bayonetta 3,Nintendo Switch,Nintendo,Action,86.0,7.8,2022.0
Ratchet & Clank: Rift Apart,PS5,Sony Interactive Entertainment,Action,88.0,8.5,2021.0
Deathloop,PS5,Bethesda Softworks,Action,88.0,6.8,2021.0
Ghostwire: Tokyo,PS5,Bethesda Softworks,Action,75.0,7.6,2022.0
Monster Hunter Rise,Nintendo Switch,Capcom,Action,88.0,8.1,2021.0
Gran Turismo 7,PS5,Sony Interactive Entertainment,Racing,87.0,6.1,2022.0
Psychonauts 2,PC,Xbox Game Studios,Platformer,89.0,8.7,2021.0
A Plague Tale: Requiem,PC,Focus Entertainment,Adventure,83.0,8.1,2022.0
Elden Ring,PC,Bandai Namco Entertainment,Action,96.0,7.5,2022.0
Sifu,PC,Sloclap,Action,81.0,8.0,2022.0
The Callisto Protocol,PC,Krafton,Survival,70.0,6.9,2022.0
Stray,PC,Annapurna Interactive,Adventure,83.0,8.2,2022.0
Triangle Strategy,Nintendo Switch,Square Enix,Tactical,82.0,7.8,2022.0
Chicory: A Colorful Tale,PC,Finji,Adventure,88.0,8.5,2021.0
Kena: Bridge of Spirits,PS5,Ember Lab,Action,81.0,8.3,2021.0
The Medium,PC,Bloober Team,Horror,76.0,7.1,2021.0
Tales of Arise,PC,Bandai Namco Entertainment,RPG,87.0,8.3,2021.0
Scarlet Nexus,PC,Bandai Namco Entertainment,RPG,80.0,7.6,2021.0
Nioh 2,PS4,Sony Interactive Entertainment,RPG,85.0,8.3,2020.0
Cyber Shadow,PC,Yacht Club Games,Action,82.0,7.6,2021.0
Control: Ultimate Edition,PS5,505 Games,Adventure,88.0,7.9,2021.0
Disco Elysium: The Final Cut,Xbox,ZA/UM,RPG,91.0,8.3,2021.0
Resident Evil 3 (Remake),PC,Capcom,Survival,80.0,7.5,2020.0
Little Nightmares II,Nintendo Switch,Bandai Namco Entertainment,Puzzle,81.0,8.1,2021.0
A Plague Tale: Innocence,PS4,Focus Home Interactive,Action,81.0,8.2,2019.0
Hellblade: Senua's Sacrifice,Xbox,Ninja Theory,Action,81.0,8.2,2017.0
Ori and the Blind Forest,Nintendo Switch,Xbox,Platformer,88.0,8.7,2019.0
Starfield,Xbox,Bethesda Softworks,RPG,83.0,7.1,2023.0
Mortal Kombat 11,PC,Warner Bros. Interactive Entertainment,Fighting,83.0,8.0,2019.0
Marvel's Spider-Man 2,PS5,Sony Interactive Entertainment,Adventure,91.0,8.7,2023.0
