Name,Platform,Publisher,Genre,Metascore,User_Score,Release_Year
Killzone: Liberation,PSP,Sony Computer Entertainment,Shooter,77.0,8.3,2006.0
Finding Nemo,GC,THQ,Action,62.0,5.5,2003.0
Ace Combat 2,PS,Sony Computer Entertainment,Simulation,83.0,8.2,1997.0
NFL 2K2,PS2,Sega,Sports,85.0,7.5,2001.0
Pure,PS3,Disney Interactive Studios,Racing,83.0,7.8,2008.0
Resistance: Retribution,PSP,Sony Computer Entertainment,Shooter,81.0,8.1,2009.0
Call of Duty: World at War,DS,Activision,Shooter,75.0,7.8,2008.0
Tiger Woods PGA Tour 12: The Masters,PS3,Electronic Arts,Sports,80.0,7.3,2011.0
FIFA Soccer 09 All-Play,Wii,Electronic Arts,Sports,80.0,8.4,2008.0
LEGO Indiana Jones 2: The Adventure Continues,PS3,Activision,Action,70.0,7.1,2009.0
Fossil Fighters,DS,Nintendo,Role-Playing,70.0,7.9,2008.0
NCAA Football 13,PS3,Electronic Arts,Action,79.0,4.1,2012.0
Samba De Amigo,Wii,Sega,Misc,68.0,8.1,2008.0
The Simpsons Game,PS3,Electronic Arts,Action,71.0,7.5,2007.0
Call of Duty: Modern Warfare 2,PC,Activision,Shooter,86.0,4.2,2009.0
The Tomb Raider Trilogy,PS3,Square Enix,Action,78.0,8.1,2011.0
F1 2010,X360,Codemasters,Racing,84.0,7.5,2010.0
Call of Juarez: Bound in Blood,PS3,Ubisoft,Shooter,78.0,7.8,2009.0
NBA 2K6,PS2,Take-Two Interactive,Action,84.0,8.3,2005.0
Dissidia 012: Duodecim Final Fantasy,PSP,Square Enix,Fighting,78.0,8.3,2011.0
Monster 4X4: World Circuit,Wii,Ubisoft,Racing,51.0,7.8,2006.0
Far Cry: Primal,XOne,Ubisoft,Action,77.0,6.4,2016.0
Resident Evil: Revelations,3DS,Capcom,Action,82.0,8.5,2012.0
Sonic Chronicles: The Dark Brotherhood,DS,Sega,Role-Playing,74.0,7.3,2008.0
Star Wars: The Force Unleashed,DS,LucasArts,Action,61.0,5.5,2008.0
Grand Theft Auto IV,PC,Take-Two Interactive,Action,90.0,6.6,2008.0
Rock Band 3,X360,MTV Games,Misc,93.0,8.2,2010.0
WWE SmackDown vs. Raw 2011,X360,THQ,Fighting,75.0,7.6,2010.0
ESPN NHL 2K5,PS2,Global Star,Sports,86.0,8.1,2004.0
Borderlands: The Handsome Collection,PS4,Take-Two Interactive,Shooter,82.0,7.8,2015.0
Crimson Skies: High Road to Revenge,XB,Microsoft Game Studios,Simulation,88.0,8.8,2003.0
Madden NFL 08,Wii,Electronic Arts,Sports,76.0,6.8,2007.0
Spec Ops: Ranger Elite,PS,TalonSoft,Shooter,48.0,6.6,2001.0
F1 2009,Wii,Codemasters,Racing,69.0,7.2,2009.0
Tom Clancy's Ghost Recon: Island Thunder,XB,Ubisoft,Shooter,81.0,8.8,2003.0
Sleeping Dogs,X360,Square Enix,Action,80.0,7.9,2012.0
Kingdoms of Amalur: Reckoning,X360,Electronic Arts,Role-Playing,80.0,7.7,2012.0
Kingdom Hearts Re: Chain of Memories,PS2,Square Enix,Role-Playing,68.0,7.2,2008.0
Phantasy Star Portable 2,PSP,Sega,Role-Playing,69.0,8.1,2009.0
Michael Jackson: The Experience,X360,Ubisoft,Misc,63.0,6.8,2011.0
LittleBigPlanet Karting,PS3,Sony Computer Entertainment,Action,73.0,6.9,2012.0
Tony Hawk's Project 8,PS2,Activision,Sports,69.0,7.3,2006.0
GRID,X360,Codemasters,Racing,87.0,7.9,2008.0
DiRT,X360,Codemasters,Racing,83.0,7.4,2007.0
Red FAction: Guerrilla,X360,THQ,Shooter,85.0,8.1,2009.0
Fight Night Round 2,PS2,Electronic Arts,Fighting,88.0,9.0,2005.0
Conflict: Desert Storm,XB,SCi,Shooter,65.0,8.1,2002.0
Cooking Mama: World Kitchen,Wii,505 Games,Simulation,62.0,4.9,2008.0
Brothers in Arms: Hell's Highway,X360,Ubisoft,Shooter,76.0,8.3,2008.0
Vagrant Story,PS,Crave Entertainment,Role-Playing,92.0,8.3,2000.0
Warriors Orochi,PS2,Tecmo Koei,Action,55.0,8.2,2007.0
Crysis 3,PS3,Electronic Arts,Shooter,77.0,6.3,2013.0
Mercenaries 2: World in Flames,PS3,Electronic Arts,Shooter,72.0,7.1,2008.0
Ghostbusters: The Video Game,Wii,Atari,Action,76.0,8.5,2009.0
Guitar Hero Live,PS4,Activision,Misc,80.0,6.2,2015.0
Endless Ocean: Blue World,Wii,Nintendo,Simulation,76.0,8.5,2009.0
Winning Eleven: Pro Evolution Soccer 2007,PSP,Konami Digital Entertainment,Sports,81.0,8.3,2006.0
Rocky,PS2,Rage Software,Fighting,74.0,8.4,2002.0
Ford Racing,PS,Empire Interactive,Racing,53.0,5.8,2001.0
Guitar Hero: Warriors of Rock,X360,Activision,Misc,72.0,6.5,2010.0
Lemmings,PSP,Sony Computer Entertainment,Puzzle,76.0,7.9,2006.0
Dynasty Warriors 4: Xtreme Legends,PS2,Tecmo Koei,Action,72.0,9.1,2003.0
2010 FIFA World Cup South Africa,X360,Electronic Arts,Sports,83.0,8.1,2010.0
Tomb Raider: Anniversary,Wii,Eidos Interactive,Action,73.0,7.3,2007.0
NBA 2K8,X360,Take-Two Interactive,Sports,81.0,7.0,2007.0
Tiger Woods PGA Tour 2005,XB,Electronic Arts,Sports,88.0,8.9,2004.0
Kingdoms of Amalur: Reckoning,PS3,Electronic Arts,Role-Playing,81.0,7.6,2012.0
Dragon Ball Z: Burst Limit,PS3,Atari,Fighting,71.0,7.2,2008.0
Tekken Tag Tournament 2,PS3,Namco Bandai Games,Fighting,82.0,8.2,2012.0
Ninja Gaiden Sigma 2,PS3,Ubisoft Annecy,Action,83.0,7.7,2009.0
Ratatouille,PS2,THQ,Action,65.0,8.0,2007.0
Burnout 2: Point of Impact,PS2,Acclaim Entertainment,Racing,86.0,8.2,2002.0
Wii Fit U,WiiU,Nintendo,Sports,72.0,7.7,2013.0
Street Fighter EX3,PS2,Virgin Interactive,Fighting,64.0,7.9,2000.0
The Legendary Starfy,DS,Nintendo,Platform,75.0,8.4,2008.0
NCAA Football 11,PS3,Electronic Arts,Sports,85.0,7.4,2010.0
The House of the Dead: Overkill,Wii,Sega,Shooter,78.0,8.7,2009.0
Army of Two: The 40th Day,PS3,Electronic Arts,Shooter,74.0,7.0,2010.0
Darksiders II,PS3,THQ,Action,84.0,7.1,2012.0
Spider-Man 2,GC,Activision,Action,80.0,8.8,2004.0
Tales of Xillia 2,PS3,Namco Bandai Games,Role-Playing,71.0,7.9,2012.0
Ghostbusters: The Video Game,PS3,Sony Computer Entertainment,Action,78.0,7.9,2009.0
The Incredibles,GC,THQ,Action,63.0,7.1,2004.0
Xenoblade Chronicles X,WiiU,Nintendo,Role-Playing,84.0,8.9,2015.0
NBA 2K10,PS3,Take-Two Interactive,Sports,83.0,7.8,2009.0
Skate 2,PS3,Electronic Arts,Sports,84.0,7.8,2009.0
Big Mutha Truckers,PS2,Empire Interactive,Racing,62.0,5.3,2002.0
Rogue Galaxy,PS2,Sony Computer Entertainment,Role-Playing,83.0,8.4,2005.0
ESPN College Hoops 2K5,PS2,Sega,Sports,86.0,8.1,2004.0
NCAA Football 14,PS3,Electronic Arts,Sports,77.0,6.2,2013.0
Harry Potter and the Order of the Phoenix,DS,Electronic Arts,Action,51.0,4.9,2007.0
Sniper Elite V2,X360,505 Games,Shooter,67.0,6.8,2012.0
Metroid: Zero Mission,GBA,Nintendo,Adventure,89.0,9.0,2004.0
Burnout Legends,PSP,Electronic Arts,Racing,86.0,8.4,2005.0
Blazing Angels: Squadrons of WWII,Wii,Ubisoft,Simulation,57.0,6.7,2007.0
Madden NFL 09 All-Play,Wii,Electronic Arts,Sports,82.0,7.2,2008.0
Dynasty Warriors 2,PS2,THQ,Action,75.0,8.8,2000.0
Time Crisis 4,PS3,Namco Bandai Games,Shooter,60.0,7.4,2007.0
Duke Nukem Forever,X360,Take-Two Interactive,Shooter,49.0,4.4,2011.0
Lizzie McGuire 2: Lizzie Diaries,GBA,Disney Interactive Studios,Action,57.0,5.0,2004.0
NCAA Football 12,PS3,Electronic Arts,Sports,82.0,5.8,2011.0
Brute Force,XB,Microsoft Game Studios,Shooter,77.0,7.8,2003.0
Tiger Woods PGA Tour 11,PS3,Electronic Arts,Sports,78.0,6.7,2010.0
WWE SmackDown vs. Raw 2009,Wii,THQ,Fighting,79.0,8.5,2008.0
Sly 3: Honor Among Thieves,PS2,Sony Computer Entertainment,Platform,83.0,8.8,2005.0
Need for Speed: Nitro,Wii,Electronic Arts,Racing,69.0,7.4,2009.0
Street Fighter X Tekken,PS3,Capcom,Fighting,84.0,5.3,2012.0
Sid Meier's Civilization Revolution,X360,Take-Two Interactive,Strategy,84.0,7.8,2008.0
Tales of the Abyss,3DS,Namco Bandai Games,Role-Playing,75.0,7.6,2011.0
Dragon Age II,PS3,Electronic Arts,Action,82.0,4.3,2011.0
Call of Duty: Modern Warfare 3,Wii,Activision,Shooter,70.0,1.8,2011.0
James Bond 007: Nightfire,XB,Electronic Arts,Shooter,78.0,7.8,2002.0
Tony Hawk's Pro Skater 3,GC,Activision,Sports,91.0,9.0,2001.0
Marvel: Ultimate Alliance,PS2,Activision,Role-Playing,81.0,8.2,2006.0
DJ Hero 2,X360,Activision,Misc,86.0,7.9,2010.0
Harvest Moon: Tree of Tranquility,Wii,Rising Star Games,Simulation,65.0,8.2,2007.0
Tony Hawk's Underground 2 Remix,PSP,Activision,Sports,83.0,8.0,2005.0
Need for Speed: Hot Pursuit 2,XB,Electronic Arts,Racing,75.0,6.4,2002.0
Amped: Freestyle Snowboarding,XB,Microsoft Game Studios,Sports,78.0,9.0,2001.0
Stranglehold,X360,Midway Games,Shooter,77.0,7.6,2007.0
Shin Megami Tensei: Persona 4,PS2,Atlus,Role-Playing,90.0,8.9,2008.0
Devil May Cry HD Collection,PS3,Capcom,Action,74.0,8.8,2012.0
Dance Central 3,X360,Microsoft Game Studios,Misc,86.0,8.0,2012.0
Tales of Destiny II,PS,Namco Bandai Games,Role-Playing,78.0,8.7,2000.0
NASCAR 2001,PS,Electronic Arts,Racing,73.0,6.1,2000.0
The Legend of Zelda: Four Swords Adventures,GC,Nintendo,Action,86.0,7.2,2004.0
MediEvil: Resurrection,PSP,Sony Computer Entertainment,Adventure,66.0,8.7,2005.0
Valkyrie Profile,PS,Enix Corporation,Role-Playing,81.0,8.8,1999.0
Patapon,PSP,Sony Computer Entertainment,Misc,86.0,8.7,2007.0
Pro Evolution Soccer 2010,X360,Konami Digital Entertainment,Sports,78.0,7.6,2009.0
Tom Clancy's Rainbow Six 3,PS2,Ubisoft,Shooter,70.0,8.2,2004.0
Madden NFL 25,XOne,Electronic Arts,Sports,73.0,5.9,2013.0
NCAA Football 10,PS3,Electronic Arts,Sports,80.0,6.9,2009.0
Guitar Hero: Warriors of Rock,PS3,Activision,Misc,74.0,7.1,2010.0
The Sims 2,PS2,Electronic Arts,Simulation,75.0,4.4,2005.0
Dragon Ball: Raging Blast 2,PS3,Namco Bandai Games,Fighting,60.0,7.5,2010.0
Yakuza,PS2,Sega,Action,75.0,8.2,2005.0
Star Wars Rogue Squadron III: Rebel Strike,GC,LucasArts,Simulation,75.0,7.6,2003.0
Hitman: Contracts,PS2,Eidos Interactive,Shooter,80.0,8.3,2004.0
Professor Layton vs Phoenix Wright: Ace Attorney,3DS,Level 5,Puzzle,79.0,8.5,2012.0
Ben 10: Alien Force,Wii,Koch Media,Action,45.0,7.8,2008.0
Final Fantasy Anthology,PS,Square EA,Role-Playing,80.0,8.1,1999.0
DiRT 2,X360,Codemasters,Racing,87.0,8.2,2009.0
Prince of Persia: Warrior Within,XB,Ubisoft,Action,83.0,7.5,2004.0
Killzone: Mercenary,PSV,Sony Computer Entertainment Europe,Shooter,78.0,8.9,2013.0
Pro Evolution Soccer 2010,PSP,Konami Digital Entertainment,Sports,72.0,4.6,2009.0
Guitar Hero: Metallica,X360,Activision,Misc,84.0,8.1,2009.0
Final Fantasy X / X-2 HD Remaster,PSV,Square Enix,Role-Playing,86.0,8.5,2013.0
Need for Speed: Hot Pursuit 2,GC,Electronic Arts,Racing,68.0,8.3,2002.0
Rayman Raving Rabbids 2,DS,Ubisoft,Misc,57.0,7.0,2007.0
The Sims 2: Pets,PSP,Electronic Arts,Simulation,57.0,7.3,2006.0
Dragon Ball Z: Budokai Tenkaichi 2,PS2,Atari,Fighting,73.0,8.6,2006.0
Guitar Hero: Aerosmith,PS2,Activision,Misc,71.0,6.3,2008.0
Star Wars The Clone Wars: Republic Heroes,Wii,LucasArts,Action,48.0,6.4,2009.0
pro evolution soccer 2011,PSP,Konami Digital Entertainment,Sports,74.0,5.8,2010.0
Harvest Moon: A Wonderful Life,GC,Ubisoft,Role-Playing,79.0,8.9,2003.0
DmC: Devil May Cry,PS3,Capcom,Action,85.0,5.3,2013.0
Motocross Mania,PS,Take-Two Interactive,Racing,34.0,5.3,2001.0
Darksiders II,X360,THQ,Action,83.0,8.0,2012.0
Need for Speed Rivals,X360,Electronic Arts,Racing,76.0,5.4,2013.0
[Prototype 2],X360,Activision,Action,74.0,7.0,2012.0
Armored Core 2,PS2,Ubisoft,Simulation,78.0,8.4,2000.0
The Godfather II,X360,Electronic Arts,Action,65.0,6.9,2009.0
Dragon's Dogma,X360,Capcom,Role-Playing,75.0,7.8,2012.0
Pro Evolution Soccer 2016,PS4,Konami Digital Entertainment,Sports,87.0,7.1,2015.0
Rare Replay,XOne,Microsoft Game Studios,Misc,84.0,7.7,2015.0
Band Hero,X360,Activision,Misc,76.0,5.0,2009.0
NCAA Football 08,PS2,Electronic Arts,Sports,83.0,8.3,2007.0
FIFA Soccer 2004,XB,Electronic Arts,Sports,82.0,8.2,2003.0
The Sims 2: Castaway,PSP,Electronic Arts,Simulation,64.0,7.3,2007.0
Star Ocean: The Last Hope,X360,Square Enix,Role-Playing,72.0,7.2,2009.0
Sniper: Ghost Warrior,PS3,City Interactive,Shooter,53.0,6.0,2011.0
Invizimals,PSP,Sony Computer Entertainment,Strategy,69.0,7.3,2009.0
WWE 2K15,PS3,Take-Two Interactive,Sports,55.0,3.1,2014.0
Too Human,X360,Microsoft Game Studios,Role-Playing,65.0,7.0,2008.0
Tiger Woods PGA Tour 10,PS3,Electronic Arts,Sports,81.0,7.7,2009.0
Tom Clancy's Splinter Cell: Double Agent,X360,Ubisoft,Action,85.0,8.1,2006.0
Naruto Shippuden: Ultimate Ninja Storm 2,X360,Namco Bandai Games,Fighting,74.0,8.5,2010.0
Golden Sun: Dark Dawn,DS,Nintendo,Role-Playing,79.0,8.1,2010.0
Fight Night Champion,X360,Electronic Arts,Fighting,86.0,7.4,2011.0
Dead Island: Riptide,X360,Deep Silver,Action,57.0,6.3,2013.0
Star Wars The Clone Wars: Jedi Alliance,DS,LucasArts,Action,68.0,7.8,2008.0
The World Ends With You,DS,Square Enix,Role-Playing,88.0,8.9,2007.0
Drawn to Life,DS,THQ,Action,73.0,8.2,2007.0
Sid Meier's Civilization Revolution,PS3,Take-Two Interactive,Strategy,85.0,7.7,2008.0
NBA 2K7,PS2,Take-Two Interactive,Sports,81.0,8.4,2006.0
James Bond 007: Nightfire,GC,Electronic Arts,Shooter,80.0,8.6,2002.0
Goldeneye 007: Reloaded,PS3,Activision,Shooter,72.0,6.3,2011.0
Rayman Origins,X360,Ubisoft,Platform,87.0,8.2,2011.0
Aliens: Colonial Marines,X360,Sega,Shooter,48.0,3.8,2013.0
Lips,X360,Microsoft Game Studios,Misc,71.0,7.4,2008.0
MadWorld,Wii,Sega,Action,81.0,8.6,2009.0
Need for Speed: ProStreet,PSP,Electronic Arts,Racing,57.0,7.1,2008.0
Perfect Dark Zero,X360,Microsoft Game Studios,Shooter,81.0,7.3,2005.0
Marvel Nemesis: Rise of the Imperfects,PS2,Electronic Arts,Fighting,53.0,6.3,2005.0
Need for Speed: Porsche Unleashed,PS,Electronic Arts,Racing,78.0,8.5,1999.0
Resident Evil: Operation Raccoon City,X360,Capcom,Action,52.0,4.9,2012.0
UFC Personal Trainer: The Ultimate Fitness System,X360,THQ,Sports,70.0,6.5,2011.0
Worms: Open Warfare,PSP,THQ,Strategy,70.0,6.6,2006.0
Star Wars Episode II: Attack of the Clones,GBA,THQ,Action,38.0,5.0,2002.0
Ghost Squad,Wii,Sega,Shooter,69.0,7.5,2007.0
Maximo: Ghosts to Glory,PS2,Capcom,Platform,84.0,8.7,2001.0
Donkey Kong Country 3,GBA,Nintendo,Platform,77.0,8.4,2005.0
All-Star Baseball 2003,PS2,Acclaim Entertainment,Sports,81.0,8.4,2002.0
Unlimited Saga,PS2,Atari,Role-Playing,45.0,3.0,2002.0
Pokemon Dash,DS,Nintendo,Racing,46.0,5.9,2004.0
Dragon Ball: Raging Blast,PS3,Namco Bandai Games,Fighting,57.0,7.2,2009.0
Twisted Metal: Head On,PSP,Sony Computer Entertainment,Action,79.0,8.2,2005.0
Sonic Unleashed,PS2,Sega,Platform,66.0,6.7,2008.0
Driv3r,XB,Atari,Racing,56.0,4.7,2004.0
ISS Pro Evolution,PS,Konami Digital Entertainment,Sports,94.0,8.7,1998.0
Need For Speed: Undercover,PSP,Electronic Arts,Racing,52.0,6.8,2008.0
Metroid Prime Hunters,DS,Nintendo,Shooter,85.0,8.0,2006.0
Bayonetta 2,WiiU,Nintendo,Action,91.0,8.2,2014.0
Star Wars Battlefront: Elite Squadron,PSP,LucasArts,Shooter,63.0,8.0,2009.0
Syphon Filter: The Omega Strain,PS2,Sony Computer Entertainment,Shooter,65.0,6.9,2004.0
The Sims 3,3DS,Electronic Arts,Simulation,52.0,3.3,2011.0
Mortal Kombat: Deception,XB,Midway Games,Fighting,81.0,8.8,2004.0
That's So Raven,GBA,Disney Interactive Studios,Adventure,39.0,7.6,2004.0
DJ Hero,Wii,Activision,Misc,87.0,7.6,2009.0
Portal 2,PC,Valve Software,Shooter,95.0,8.8,2011.0
Duke Nukem Forever,PS3,Take-Two Interactive,Shooter,51.0,4.9,2011.0
Star Wars: The Force Unleashed II,Wii,LucasArts,Action,71.0,7.8,2010.0
Harry Potter and the Half-Blood Prince,Wii,Electronic Arts,Action,60.0,6.0,2009.0
Wall-E,PS2,THQ,Platform,67.0,8.4,2008.0
Professor Layton and the Azran Legacy,3DS,Nintendo,Puzzle,81.0,7.9,2013.0
Mega Man X5,PS,Capcom,Platform,76.0,8.9,2000.0
Titanfall 2,PS4,Electronic Arts,Shooter,89.0,8.4,2016.0
Genji: Days of the Blade,PS3,Sony Computer Entertainment,Action,55.0,5.8,2006.0
Metal Gear Solid V: The Phantom Pain,XOne,Konami Digital Entertainment,Action,95.0,7.3,2015.0
Rockstar Games presents Table Tennis,X360,Take-Two Interactive,Sports,81.0,7.8,2006.0
Drawn to Life: The Next Chapter,Wii,THQ,Puzzle,58.0,6.0,2009.0
PokePark 2: Wonders Beyond,Wii,Nintendo,Action,60.0,7.0,2011.0
DJ Hero 2,PS3,Activision,Misc,86.0,7.8,2010.0
WWE SmackDown vs. Raw 2009,PSP,THQ,Fighting,72.0,6.0,2008.0
LEGO Batman 2: DC Super Heroes,3DS,Warner Bros. Interactive Entertainment,Action,72.0,5.2,2012.0
SoulCalibur V,PS3,Namco Bandai Games,Fighting,81.0,6.7,2012.0
Shark Tale,PS2,Activision,Action,69.0,6.5,2004.0
Zone of the Enders,PS2,Konami Digital Entertainment,Shooter,78.0,7.4,2001.0
Pro Evolution Soccer 2015,PS4,Konami Digital Entertainment,Sports,82.0,7.2,2014.0
Tony Hawk's Underground 2,XB,Activision,Sports,83.0,7.8,2004.0
Madden NFL 06,PSP,Electronic Arts,Sports,75.0,7.9,2005.0
Raving Rabbids: Travel in Time,Wii,Ubisoft,Adventure,62.0,7.6,2010.0
Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,Capcom,Fighting,81.0,7.9,2001.0
MVP 06 NCAA Baseball,PS2,Electronic Arts,Sports,76.0,9.0,2006.0
Turok,X360,Touchstone,Action,69.0,7.1,2008.0
Coded Arms,PSP,Konami Digital Entertainment,Shooter,59.0,6.5,2005.0
Final Fantasy Tactics A2: Grimoire of the Rift,DS,Square Enix,Role-Playing,80.0,6.9,2007.0
The Lord of the Rings: Conquest,PS3,Electronic Arts,Action,54.0,7.1,2009.0
Band Hero,PS3,Activision,Misc,76.0,5.7,2009.0
Burnout,PS2,Acclaim Entertainment,Racing,79.0,7.7,2001.0
Spectrobes,DS,Disney Interactive Studios,Role-Playing,63.0,7.9,2007.0
The Godfather II,PS3,Electronic Arts,Action,67.0,7.2,2009.0
Mortal Kombat: Unchained,PSP,Midway Games,Fighting,70.0,8.8,2006.0
Need for Speed: Shift,PSP,Electronic Arts,Racing,69.0,6.5,2009.0
Dark Souls II,X360,Namco Bandai Games,Role-Playing,91.0,7.9,2014.0
Assassin's Creed: Revelations,PC,Ubisoft,Action,80.0,7.4,2011.0
[Prototype 2],PS3,Activision,Action,79.0,6.8,2012.0
Midnight Club 3: DUB Edition,XB,Take-Two Interactive,Racing,84.0,7.4,2005.0
Resident Evil: Revelations,PS3,Capcom,Action,74.0,7.2,2013.0
Tom Clancy's Rainbow Six: Vegas,PSP,Ubisoft,Shooter,60.0,7.1,2007.0
Red FAction: Guerrilla,PS3,THQ,Shooter,85.0,8.1,2009.0
Ace Combat: Assault Horizon,PS3,Namco Bandai Games,Action,77.0,6.7,2011.0
Unreal Championship,XB,Atari,Shooter,83.0,8.2,2002.0
Crysis 2,PC,Electronic Arts,Action,86.0,6.8,2011.0
Tales of Vesperia,X360,Atari,Role-Playing,79.0,8.2,2008.0
MLB 13: The Show,PS3,Sony Computer Entertainment,Sports,87.0,7.8,2013.0
LEGO Marvel Super Heroes,WiiU,Warner Bros. Interactive Entertainment,Action,82.0,8.0,2013.0
Namco Museum Remix,Wii,Atari,Misc,49.0,6.3,2007.0
Sword of Mana,GBA,Nintendo,Role-Playing,72.0,8.3,2003.0
Marvel: Ultimate Alliance 2,PS3,Activision,Role-Playing,74.0,7.3,2009.0
Dragon Age: Inquisition,PC,Electronic Arts,Role-Playing,85.0,5.9,2014.0
Resonance of Fate,PS3,Sega,Role-Playing,72.0,8.0,2010.0
Pirates of the Caribbean: At World's End,PS3,Disney Interactive Studios,Action,55.0,6.9,2007.0
Tiger Woods PGA Tour 08,PS3,Electronic Arts,Sports,79.0,6.6,2007.0
Classic NES Series: Donkey Kong,GBA,Nintendo,Platform,55.0,4.8,2004.0
Harvest Moon: Animal Parade,Wii,Rising Star Games,Simulation,76.0,8.9,2008.0
WWE SmackDown vs. Raw 2010,Wii,THQ,Fighting,78.0,7.7,2009.0
Style Savvy: Trendsetters,3DS,Nintendo,Simulation,76.0,8.0,2012.0
Final Fantasy XIII-2,X360,Square Enix,Role-Playing,79.0,6.3,2011.0
Oddworld: Munch's Oddysee,XB,Atari,Platform,80.0,8.7,2001.0
Persona 4: Arena,PS3,Atlus,Fighting,86.0,7.7,2012.0
Brink,PS3,Bethesda Softworks,Shooter,72.0,5.8,2011.0
NHL 11,X360,Electronic Arts,Sports,88.0,7.7,2010.0
NCAA Football 07,X360,Electronic Arts,Sports,79.0,6.9,2006.0
Full Spectrum Warrior,XB,THQ,Strategy,84.0,8.7,2004.0
LEGO Marvel's Avengers,PS4,Warner Bros. Interactive Entertainment,Action,71.0,7.0,2016.0
Katamari Damacy,PS2,Namco Bandai Games,Puzzle,86.0,9.0,2004.0
Just Dance 2015,WiiU,Ubisoft,Misc,75.0,6.6,2014.0
LEGO Dimensions,PS4,Warner Bros. Interactive Entertainment,Action,80.0,7.1,2015.0
Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,Namco Bandai Games,Fighting,74.0,7.1,2012.0
Shaun Palmer's Pro Snowboarder,PS2,Codemasters,Sports,64.0,8.7,2001.0
James Bond 007: Agent Under Fire,GC,Electronic Arts,Shooter,74.0,6.8,2002.0
Harvest Moon DS: Island of Happiness,DS,Rising Star Games,Simulation,65.0,7.0,2007.0
Star Wars Episode III: Revenge of the Sith,GBA,Ubisoft,Action,73.0,7.5,2005.0
Ultimate Spider-Man,PS2,Activision,Action,74.0,7.9,2005.0
Monopoly Streets,Wii,Electronic Arts,Misc,65.0,5.2,2010.0
Total War: Rome II,PC,Sega,Strategy,76.0,4.2,2013.0
NBA Live 08,PS2,Electronic Arts,Sports,68.0,6.6,2007.0
Star Ocean: The Last Hope International,PS3,Square Enix,Role-Playing,74.0,6.7,2010.0
Dead to Rights,XB,Electronic Arts,Shooter,73.0,8.9,2002.0
Indiana Jones and the Staff of Kings,Wii,Activision,Action,55.0,7.0,2009.0
Tiger Woods PGA Tour 07,PS2,Electronic Arts,Sports,79.0,6.0,2006.0
Major League Baseball 2K7,X360,Spike,Sports,79.0,7.1,2007.0
Persona Q: Shadow of the Labyrinth,3DS,Nippon Ichi Software,Role-Playing,83.0,8.1,2014.0
MLB 14: The Show,PS4,Sony Computer Entertainment America,Sports,83.0,7.7,2014.0
X-Men: Mutant Academy 2,PS,Activision,Fighting,72.0,8.4,2001.0
Kirby: Canvas Curse,DS,Nintendo,Platform,86.0,8.2,2005.0
Madden NFL 10,Wii,Electronic Arts,Sports,77.0,7.2,2009.0
MLB 09: The Show,PS3,Sony Computer Entertainment,Sports,90.0,8.1,2009.0
Borderlands: The Pre-Sequel,X360,Take-Two Interactive,Shooter,74.0,6.4,2014.0
Super Monkey Ball Jr.,GBA,Atari,Puzzle,82.0,8.6,2002.0
The Witcher 3: Wild Hunt,PC,Namco Bandai Games,Role-Playing,93.0,9.3,2015.0
F1 2011,X360,Codemasters,Racing,84.0,7.1,2011.0
Mobile Suit Gundam: Encounters in Space,PS2,Namco Bandai Games,Simulation,66.0,8.5,2003.0
MLB 10: The Show,PS3,Sony Computer Entertainment,Sports,91.0,8.3,2010.0
MX vs. ATV Reflex,X360,THQ,Racing,75.0,6.6,2009.0
Blur,PS3,Activision,Racing,81.0,8.2,2010.0
Battlefield: Bad Company 2,PC,Electronic Arts,Shooter,87.0,8.3,2010.0
DiRT 3,X360,Codemasters,Racing,87.0,7.1,2011.0
The Lord of the Rings: The Two Towers,XB,Electronic Arts,Action,79.0,8.1,2002.0
Madden NFL 2003,XB,Electronic Arts,Sports,92.0,8.3,2002.0
Skate,X360,Electronic Arts,Sports,86.0,8.4,2007.0
XCOM: Enemy Unknown,PC,Take-Two Interactive,Strategy,89.0,8.2,2012.0
Ben 10: Protector of Earth,PSP,D3Publisher,Action,60.0,7.2,2007.0
Virtua Fighter 4: Evolution,PS2,Sega,Fighting,93.0,9.0,2003.0
Crysis,PC,Electronic Arts,Shooter,91.0,8.0,2007.0
Resident Evil: Survivor,PS,Eidos Interactive,Action,39.0,7.0,2000.0
The Sims 2: Castaway,DS,Electronic Arts,Simulation,66.0,4.0,2007.0
Godzilla: Destroy All Monsters Melee,GC,Atari,Fighting,73.0,7.8,2002.0
Silent Hill 3,PS2,Konami Digital Entertainment,Action,85.0,8.8,2003.0
Spyro: Enter the Dragonfly,GC,Universal Interactive,Platform,48.0,5.1,2002.0
Power Rangers: Dino Thunder,PS2,THQ,Action,49.0,6.2,2004.0
Madden NFL 08,PSP,Electronic Arts,Sports,75.0,6.8,2007.0
Madden NFL 09,PSP,Electronic Arts,Sports,68.0,6.5,2008.0
NBA Live 09,X360,Electronic Arts,Sports,77.0,7.4,2008.0
Dragon Ball: Xenoverse 2,PS4,Namco Bandai Games,Action,73.0,7.8,2016.0
Dynasty Warriors 6,PS3,Tecmo Koei,Action,59.0,7.3,2007.0
NCAA Football 09,X360,Electronic Arts,Sports,83.0,7.7,2008.0
Doom 3: Resurrection of Evil,XB,Activision,Shooter,77.0,7.9,2005.0
